Gene	Name/Alias	HGNC ID	Location	Metabolic pathway	Reference
BCKDHA	branched chain keto acid dehydrogenase E1 subunit alpha	HGNC:986	19q13.2	Cysteine and methionine metabolism	
BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	HGNC:987	6q14.1	Cysteine and methionine metabolism	
CBS	cystathionine beta-synthase	HGNC:1550	21q22.3	Cysteine and methionine metabolism	
CTH	cystathionine gamma-lyase	HGNC:2501	1p31.1	Cysteine and methionine metabolism	
VSIG2	V-set and immunoglobulin domain containing 2	HGNC:17149	11q24.2	Cysteine and methionine metabolism	
DLD	dihydrolipoamide dehydrogenase	HGNC:2898	7q31.1	Cysteine and methionine metabolism	
DNMT3A	DNA methyltransferase 3 alpha	HGNC:2978	2p23.3	Cysteine and methionine metabolism	
DNMT3L	DNA methyltransferase 3 like	HGNC:2980	21q22.3	Cysteine and methionine metabolism	
ENOPH1	enolase-phosphatase 1	HGNC:24599	4q21.22	Cysteine and methionine metabolism	
EPX	eosinophil peroxidase	HGNC:3423	17q22	Cysteine and methionine metabolism	
GOT1	glutamic-oxaloacetic transaminase 1	HGNC:4432	10q24.2	Cysteine and methionine metabolism	
GOLT1A	golgi transport 1A	HGNC:24766	1q32.1	Cysteine and methionine metabolism	
GOLT1B	golgi transport 1B	HGNC:20175	12p12.1	Cysteine and methionine metabolism	
GOT2	glutamic-oxaloacetic transaminase 2	HGNC:4433	16q21	Cysteine and methionine metabolism	
IL4I1	interleukin 4 induced 1	HGNC:19094	19q13.33	Cysteine and methionine metabolism	
LDHAL6A	lactate dehydrogenase A like 6A	HGNC:28335	11p15.1	Cysteine and methionine metabolism	
LDHAL6B	lactate dehydrogenase A like 6B	HGNC:21481	15q22.2	Cysteine and methionine metabolism	
LDHB	lactate dehydrogenase B	HGNC:6541	12p12.1	Cysteine and methionine metabolism	
LDHC	lactate dehydrogenase C	HGNC:6544	11p15.1	Cysteine and methionine metabolism	
LPO	lactoperoxidase	HGNC:6678	17q22	Cysteine and methionine metabolism	
MAT1A	methionine adenosyltransferase 1A	HGNC:6903	10q22.3	Cysteine and methionine metabolism	
MAT2A	methionine adenosyltransferase 2A	HGNC:6904	2p11.2	Cysteine and methionine metabolism	
MAT2B	methionine adenosyltransferase 2B	HGNC:6905	5q34	Cysteine and methionine metabolism	
MDH1	malate dehydrogenase 1	HGNC:6970	2p15	Cysteine and methionine metabolism	
MDH1B	malate dehydrogenase 1B	HGNC:17836	2q33.3	Cysteine and methionine metabolism	
MDH2	malate dehydrogenase 2	HGNC:6971	7q11.23	Cysteine and methionine metabolism	
MPST	mercaptopyruvate sulfurtransferase	HGNC:7223	22q12.3	Cysteine and methionine metabolism	
MRI1	methylthioribose-1-phosphate isomerase 1	HGNC:28469	19p13.13	Cysteine and methionine metabolism	
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	HGNC:7468	1q43	Cysteine and methionine metabolism	
NAGS	N-acetylglutamate synthase	HGNC:17996	17q21.31	Cysteine and methionine metabolism	
PON1	paraoxonase 1	HGNC:9204	7q21.3	Cysteine and methionine metabolism	
PON2	paraoxonase 2	HGNC:9205	7q21.3	Cysteine and methionine metabolism	
PON3	paraoxonase 3	HGNC:9206	7q21.3	Cysteine and methionine metabolism	
PRDX6	peroxiredoxin 6	HGNC:16753	1q25.1	Cysteine and methionine metabolism	
PRDX5	peroxiredoxin 5	HGNC:9355	11q13.1	Cysteine and methionine metabolism	
PXDN	peroxidasin	HGNC:14966	2p25.3	Cysteine and methionine metabolism	
PXDNL	peroxidasin like	HGNC:26359	8q11.22-q11.23	Cysteine and methionine metabolism	
SULT1A3	sulfotransferase family 1A member 3	HGNC:11455	16p11.2	Cysteine and methionine metabolism	
SUOX	sulfite oxidase	HGNC:11460	12q13.2	Cysteine and methionine metabolism	
TAT	tyrosine aminotransferase	HGNC:11573	16q22.2	Cysteine and methionine metabolism	
TMEM91	transmembrane protein 91	HGNC:32393	19q13.2	Cysteine and methionine metabolism	
TRDMT1	tRNA aspartic acid methyltransferase 1	HGNC:2977	10p13	Cysteine and methionine metabolism	
TST	thiosulfate sulfurtransferase	HGNC:12388	22q12.3	Cysteine and methionine metabolism	
TXNRD1	thioredoxin reductase 1	HGNC:12437	12q23.3	Cysteine and methionine metabolism	
TXNRD2	thioredoxin reductase 2	HGNC:18155	22q11.21	Cysteine and methionine metabolism	
TXNRD3	thioredoxin reductase 3	HGNC:20667	3q21.3	Cysteine and methionine metabolism	
UEVLD	UEV and lactate/malate dehyrogenase domains	HGNC:30866	11p15.1	Cysteine and methionine metabolism	
ABCB1	ATP binding cassette subfamily B member 1	HGNC:40	7q21.12	Drug metabolism	
ABCB11	ATP binding cassette subfamily B member 11	HGNC:42	2q31.1	Drug metabolism	
ABCC2	ATP binding cassette subfamily C member 2	HGNC:53	10q24.2	Drug metabolism	
ABCC3	ATP binding cassette subfamily C member 3	HGNC:54	17q21.33	Drug metabolism	
ABCC4	ATP binding cassette subfamily C member 4	HGNC:55	13q32.1	Drug metabolism	
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	HGNC:74	4q22.1	Drug metabolism	
ACAA1	acetyl-CoA acyltransferase 1	HGNC:82	3p22.2	Drug metabolism	
ACADVL	acyl-CoA dehydrogenase very long chain	HGNC:92	17p13.1	Drug metabolism	
ACOT11	acyl-CoA thioesterase 11	HGNC:18156	1p32.3	Drug metabolism	
ACOT2	acyl-CoA thioesterase 2	HGNC:18431	14q24.3	Drug metabolism	
ACOT4	acyl-CoA thioesterase 4	HGNC:19748	14q24.3	Drug metabolism	
ACOT8	acyl-CoA thioesterase 8	HGNC:15919	20q13.12	Drug metabolism	
ACOX1	acyl-CoA oxidase 1	HGNC:119	17q25.1	Drug metabolism	
ACSL1	acyl-CoA synthetase long chain family member 1	HGNC:3569	4q35.1	Drug metabolism	
AMACR	alpha-methylacyl-CoA racemase	HGNC:451	5p13.2	Drug metabolism	
AOX1	aldehyde oxidase 1	HGNC:553	2q33.1	Drug metabolism	
CYP2A6	cytochrome P450 family 2 subfamily A member 6	HGNC:2610	19q13.2	Drug metabolism	
CYP2C18	cytochrome P450 family 2 subfamily C member 18	HGNC:2620	10q23.33	Drug metabolism	
CYP2C19	cytochrome P450 family 2 subfamily C member 19	HGNC:2621	10q23.33	Drug metabolism	
CYP2C8	cytochrome P450 family 2 subfamily C member 8	HGNC:2622	10q23.33	Drug metabolism	
CYP2C9	cytochrome P450 family 2 subfamily C member 9	HGNC:2623	10q23.33	Drug metabolism	
CYP2D6	cytochrome P450 family 2 subfamily D member 6	HGNC:2625	22q13.2	Drug metabolism	
CYP2E1	cytochrome P450 family 2 subfamily E member 1	HGNC:2631	10q26.3	Drug metabolism	
CYP3A4	cytochrome P450 family 3 subfamily A member 4	HGNC:2637	7q22.1	Drug metabolism	
CYP3A5	cytochrome P450 family 3 subfamily A member 5	HGNC:2638	7q22.1	Drug metabolism	
CYP4F2	cytochrome P450 family 4 subfamily F member 2	HGNC:2645	19p13.12	Drug metabolism	
CYP4F3	cytochrome P450 family 4 subfamily F member 3	HGNC:2646	19p13.12	Drug metabolism	
EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase	HGNC:3247	3q27.2	Drug metabolism	
GUSB	glucuronidase beta	HGNC:4696	7q11.21	Drug metabolism	
HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha	HGNC:4801	2p23.3	Drug metabolism	
HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	HGNC:4803	2p23.3	Drug metabolism	
HSD17B4	hydroxysteroid 17-beta dehydrogenase 4	HGNC:5213	5q23.1	Drug metabolism	
PON3	paraoxonase 3	HGNC:9206	7q21.3	Drug metabolism	
SLC16A1	solute carrier family 16 member 1	HGNC:10922	1p13.2	Drug metabolism	
SLC22A6	solute carrier family 22 member 6	HGNC:10970	11q12.3	Drug metabolism	
SLC22A7	solute carrier family 22 member 7	HGNC:10971	6p21.1	Drug metabolism	
SLC28A1	solute carrier family 28 member 1	HGNC:11001	15q25.3	Drug metabolism	
SLC28A2	solute carrier family 28 member 2	HGNC:11002	15q21.1	Drug metabolism	
SLC28A3	solute carrier family 28 member 3	HGNC:16484	9q21.32-q21.33	Drug metabolism	
SLCO1A2	solute carrier organic anion transporter family member 1A2	HGNC:10956	12p12.1	Drug metabolism	
SLCO1B1	solute carrier organic anion transporter family member 1B1	HGNC:10959	12p12.1	Drug metabolism	
SLCO2B1	solute carrier organic anion transporter family member 2B1	HGNC:10962	11q13.4	Drug metabolism	
SULT1A1	sulfotransferase family 1A member 1	HGNC:11453	16p11.2	Drug metabolism	
UGT1A1	UDP glucuronosyltransferase family 1 member A1	HGNC:12530	2q37.1	Drug metabolism	
UGT1A10	UDP glucuronosyltransferase family 1 member A10	HGNC:12531	2q37.1	Drug metabolism	
UGT1A3	UDP glucuronosyltransferase family 1 member A3	HGNC:12535	2q37.1	Drug metabolism	
UGT1A4	UDP glucuronosyltransferase family 1 member A4	HGNC:12536	2q37.1	Drug metabolism	
UGT1A6	UDP glucuronosyltransferase family 1 member A6	HGNC:12538	2q37.1	Drug metabolism	
UGT1A7	UDP glucuronosyltransferase family 1 member A7	HGNC:12539	2q37.1	Drug metabolism	
UGT1A8	UDP glucuronosyltransferase family 1 member A8	HGNC:12540	2q37.1	Drug metabolism	
UGT1A9	UDP glucuronosyltransferase family 1 member A9	HGNC:12541	2q37.1	Drug metabolism	
UGT2B17	UDP glucuronosyltransferase family 2 member B17	HGNC:12547	4q13.2	Drug metabolism	
UGT2B4	UDP glucuronosyltransferase family 2 member B4	HGNC:12553	4q13.3	Drug metabolism	
UGT2B7	UDP glucuronosyltransferase family 2 member B7	HGNC:12554	4q13.2	Drug metabolism	
XDH	xanthine dehydrogenase	HGNC:12805	2p23.1	Drug metabolism	
ACOT1	acyl-CoA thioesterase 1	HGNC:33128	14q24.3	Eicosanoid metabolism	
ACOT6	acyl-CoA thioesterase 6	HGNC:33159	14q24.3	Eicosanoid metabolism	
ACSL1	acyl-CoA synthetase long chain family member 1	HGNC:3569	4q35.1	Eicosanoid metabolism	
ACSL3	acyl-CoA synthetase long chain family member 3	HGNC:3570	2q36.1	Eicosanoid metabolism	
ACSL4	acyl-CoA synthetase long chain family member 4	HGNC:3571	Xq23	Eicosanoid metabolism	
ACSL5	acyl-CoA synthetase long chain family member 5	HGNC:16526	10q25.2	Eicosanoid metabolism	
ACSL6	acyl-CoA synthetase long chain family member 6	HGNC:16496	5q31.1	Eicosanoid metabolism	
ALOX12B	arachidonate 12-lipoxygenase, 12R type	HGNC:430	17p13.1	Eicosanoid metabolism	
ALOX5	arachidonate 5-lipoxygenase	HGNC:435	10q11.21	Eicosanoid metabolism	
BAAT	bile acid-CoA:amino acid N-acyltransferase	HGNC:932	9q31.1	Eicosanoid metabolism	
CBR1	carbonyl reductase 1	HGNC:1548	21q22.12	Eicosanoid metabolism	
CBR3	carbonyl reductase 3	HGNC:1549	21q22.12	Eicosanoid metabolism	
CYP2F1	cytochrome P450 family 2 subfamily F member 1	HGNC:2632	19q13.2	Eicosanoid metabolism	
CYP4F12	cytochrome P450 family 4 subfamily F member 12	HGNC:18857	19p13.12	Eicosanoid metabolism	
CYP4F2	cytochrome P450 family 4 subfamily F member 2	HGNC:2645	19p13.12	Eicosanoid metabolism	
CYP4F22	cytochrome P450 family 4 subfamily F member 22	HGNC:26820	19p13.12	Eicosanoid metabolism	
CYP4F3	cytochrome P450 family 4 subfamily F member 3	HGNC:2646	19p13.12	Eicosanoid metabolism	
CYP4F8	cytochrome P450 family 4 subfamily F member 8	HGNC:2648	19p13.12	Eicosanoid metabolism	
DHRS4	dehydrogenase/reductase 4	HGNC:16985	14q11.2	Eicosanoid metabolism	
GGT1	gamma-glutamyltransferase 1	HGNC:4250	22q11.23	Eicosanoid metabolism	
GGT2	gamma-glutamyltransferase 2	HGNC:4251	22q11.21	Eicosanoid metabolism	
GGT5	gamma-glutamyltransferase 5	HGNC:4260	22q11.23	Eicosanoid metabolism	
GGT6	gamma-glutamyltransferase 6	HGNC:26891	17p13.2	Eicosanoid metabolism	
GGT7	gamma-glutamyltransferase 7	HGNC:4259	20q11.22	Eicosanoid metabolism	
GGTLC1	gamma-glutamyltransferase light chain 1	HGNC:16437	20p11.21	Eicosanoid metabolism	
GGTLC2	gamma-glutamyltransferase light chain 2	HGNC:18596	22q11.22	Eicosanoid metabolism	
GSTK1	glutathione S-transferase kappa 1	HGNC:16906	7q34	Eicosanoid metabolism	
GSTZ1	glutathione S-transferase zeta 1	HGNC:4643	14q24.3	Eicosanoid metabolism	
HPGD	15-hydroxyprostaglandin dehydrogenase	HGNC:5154	4q34.1	Eicosanoid metabolism	
HPGDS	hematopoietic prostaglandin D synthase	HGNC:17890	4q22.3	Eicosanoid metabolism	
HSD17B10	hydroxysteroid 17-beta dehydrogenase 10	HGNC:4800	Xp11.22	Eicosanoid metabolism	
LTC4S	leukotriene C4 synthase	HGNC:6719	5q35.3	Eicosanoid metabolism	
MGST1	microsomal glutathione S-transferase 1	HGNC:7061	12p12.3	Eicosanoid metabolism	
MGST2	microsomal glutathione S-transferase 2	HGNC:7063	4q31.1	Eicosanoid metabolism	
MGST3	microsomal glutathione S-transferase 3	HGNC:7064	1q24.1	Eicosanoid metabolism	
PLPP3	phospholipid phosphatase 3	HGNC:9229	1p32.2	Eicosanoid metabolism	
PTGDS	prostaglandin D2 synthase	HGNC:9592	9q34.3	Eicosanoid metabolism	
PTGES	prostaglandin E synthase	HGNC:9599	9q34.11	Eicosanoid metabolism	
PTGES2	prostaglandin E synthase 2	HGNC:17822	9q34.11	Eicosanoid metabolism	
PTGES3	prostaglandin E synthase 3	HGNC:16049	12q13.3	Eicosanoid metabolism	
PTGS1	prostaglandin-endoperoxide synthase 1	HGNC:9604	9q33.2	Eicosanoid metabolism	
PTGS2	prostaglandin-endoperoxide synthase 2	HGNC:9605	1q31.1	Eicosanoid metabolism	
SLC27A2	solute carrier family 27 member 2	HGNC:10996	15q21.2	Eicosanoid metabolism	
ARSD	arylsulfatase D	HGNC:717	Xp22.33	Estrogen metabolism	
ARSL	arylsulfatase L	HGNC:719	Xp22.33	Estrogen metabolism	
COMT	catechol-O-methyltransferase	HGNC:2228	22q11.21	Estrogen metabolism	
CYP19A1	cytochrome P450 family 19 subfamily A member 1	HGNC:2594	15q21.2	Estrogen metabolism	
CYP1A1	cytochrome P450 family 1 subfamily A member 1	HGNC:2595	15q24.1	Estrogen metabolism	
CYP1A2	cytochrome P450 family 1 subfamily A member 2	HGNC:2596	15q24.1	Estrogen metabolism	
CYP1B1	cytochrome P450 family 1 subfamily B member 1	HGNC:2597	2p22.2	Estrogen metabolism	
CYP2A13	cytochrome P450 family 2 subfamily A member 13	HGNC:2608	19q13.2	Estrogen metabolism	
CYP2A6	cytochrome P450 family 2 subfamily A member 6	HGNC:2610	19q13.2	Estrogen metabolism	
CYP2A7	cytochrome P450 family 2 subfamily A member 7	HGNC:2611	19q13.2	Estrogen metabolism	
CYP2B6	cytochrome P450 family 2 subfamily B member 6	HGNC:2615	19q13.2	Estrogen metabolism	
CYP2C18	cytochrome P450 family 2 subfamily C member 18	HGNC:2620	10q23.33	Estrogen metabolism	
CYP2C19	cytochrome P450 family 2 subfamily C member 19	HGNC:2621	10q23.33	Estrogen metabolism	
CYP2C8	cytochrome P450 family 2 subfamily C member 8	HGNC:2622	10q23.33	Estrogen metabolism	
CYP2C9	cytochrome P450 family 2 subfamily C member 9	HGNC:2623	10q23.33	Estrogen metabolism	
CYP2D6	cytochrome P450 family 2 subfamily D member 6	HGNC:2625	22q13.2	Estrogen metabolism	
CYP2E1	cytochrome P450 family 2 subfamily E member 1	HGNC:2631	10q26.3	Estrogen metabolism	
CYP2F1	cytochrome P450 family 2 subfamily F member 1	HGNC:2632	19q13.2	Estrogen metabolism	
CYP2J2	cytochrome P450 family 2 subfamily J member 2	HGNC:2634	1p32.1	Estrogen metabolism	
CYP2S1	cytochrome P450 family 2 subfamily S member 1	HGNC:15654	19q13.2	Estrogen metabolism	
CYP2U1	cytochrome P450 family 2 subfamily U member 1	HGNC:20582	4q25	Estrogen metabolism	
CYP3A4	cytochrome P450 family 3 subfamily A member 4	HGNC:2637	7q22.1	Estrogen metabolism	
CYP3A43	cytochrome P450 family 3 subfamily A member 43	HGNC:17450	7q22.1	Estrogen metabolism	
CYP3A5	cytochrome P450 family 3 subfamily A member 5	HGNC:2638	7q22.1	Estrogen metabolism	
CYP3A7	cytochrome P450 family 3 subfamily A member 7	HGNC:2640	7q22.1	Estrogen metabolism	
CYP3A7-CYP3A51P	CYP3A7-CYP3A51P readthrough	HGNC:51504	7q22.1	Estrogen metabolism	
CYP4B1	cytochrome P450 family 4 subfamily B member 1	HGNC:2644	1p33	Estrogen metabolism	
CYP4F11	cytochrome P450 family 4 subfamily F member 11	HGNC:13265	19p13.12	Estrogen metabolism	
CYP4F12	cytochrome P450 family 4 subfamily F member 12	HGNC:18857	19p13.12	Estrogen metabolism	
CYP4F8	cytochrome P450 family 4 subfamily F member 8	HGNC:2648	19p13.12	Estrogen metabolism	
CYP4X1	cytochrome P450 family 4 subfamily X member 1	HGNC:20244	1p33	Estrogen metabolism	
CYP4Z1	cytochrome P450 family 4 subfamily Z member 1	HGNC:20583	1p33	Estrogen metabolism	
EPX	eosinophil peroxidase	HGNC:3423	17q22	Estrogen metabolism	
GSTA1	glutathione S-transferase alpha 1	HGNC:4626	6p12.2	Estrogen metabolism	
GSTA2	glutathione S-transferase alpha 2	HGNC:4627	6p12.2	Estrogen metabolism	
GSTA3	glutathione S-transferase alpha 3	HGNC:4628	6p12.2	Estrogen metabolism	
GSTA4	glutathione S-transferase alpha 4	HGNC:4629	6p12.2	Estrogen metabolism	
GSTA5	glutathione S-transferase alpha 5	HGNC:19662	6p12.2	Estrogen metabolism	
GSTK1	glutathione S-transferase kappa 1	HGNC:16906	7q34	Estrogen metabolism	
GSTM1	glutathione S-transferase mu 1	HGNC:4632	1p13.3	Estrogen metabolism	
GSTM2	glutathione S-transferase mu 2	HGNC:4634	1p13.3	Estrogen metabolism	
GSTM3	glutathione S-transferase mu 3	HGNC:4635	1p13.3	Estrogen metabolism	
GSTM4	glutathione S-transferase mu 4	HGNC:4636	1p13.3	Estrogen metabolism	
GSTM5	glutathione S-transferase mu 5	HGNC:4637	1p13.3	Estrogen metabolism	
GSTO1	glutathione S-transferase omega 1	HGNC:13312	10q25.1	Estrogen metabolism	
GSTO2	glutathione S-transferase omega 2	HGNC:23064	10q25.1	Estrogen metabolism	
GSTP1	glutathione S-transferase pi 1	HGNC:4638	11q13.2	Estrogen metabolism	
GSTT2	glutathione S-transferase theta 2 (gene/pseudogene)	HGNC:4642	22q11.23	Estrogen metabolism	
GSTT2B	glutathione S-transferase theta 2B	HGNC:33437	22q11.23	Estrogen metabolism	
GSTZ1	glutathione S-transferase zeta 1	HGNC:4643	14q24.3	Estrogen metabolism	
HPGDS	hematopoietic prostaglandin D synthase	HGNC:17890	4q22.3	Estrogen metabolism	
HSD17B1	hydroxysteroid 17-beta dehydrogenase 1	HGNC:5210	17q21.2	Estrogen metabolism	
HSD17B11	hydroxysteroid 17-beta dehydrogenase 11	HGNC:22960	4q22.1	Estrogen metabolism	
HSD17B12	hydroxysteroid 17-beta dehydrogenase 12	HGNC:18646	11p11.2	Estrogen metabolism	
HSD17B2	hydroxysteroid 17-beta dehydrogenase 2	HGNC:5211	16q23.3	Estrogen metabolism	
HSD17B6	hydroxysteroid 17-beta dehydrogenase 6	HGNC:23316	12q13.3	Estrogen metabolism	
HSD17B7	hydroxysteroid 17-beta dehydrogenase 7	HGNC:5215	1q23.3	Estrogen metabolism	
HSD17B7P2	hydroxysteroid 17-beta dehydrogenase 7 pseudogene 2	HGNC:28120	10p11.1	Estrogen metabolism	
HSD17B8	hydroxysteroid 17-beta dehydrogenase 8	HGNC:3554	6p21.32	Estrogen metabolism	
LPO	lactoperoxidase	HGNC:6678	17q22	Estrogen metabolism	
LRTOMT	leucine rich transmembrane and O-methyltransferase domain containing	HGNC:25033	11q13.4	Estrogen metabolism	
MGST1	microsomal glutathione S-transferase 1	HGNC:7061	12p12.3	Estrogen metabolism	
MGST2	microsomal glutathione S-transferase 2	HGNC:7063	4q31.1	Estrogen metabolism	
MGST3	microsomal glutathione S-transferase 3	HGNC:7064	1q24.1	Estrogen metabolism	
MPO	myeloperoxidase	HGNC:7218	17q22	Estrogen metabolism	
PRDX6	peroxiredoxin 6	HGNC:16753	1q25.1	Estrogen metabolism	
PRDX5	peroxiredoxin 5	HGNC:9355	11q13.1	Estrogen metabolism	
STS	steroid sulfatase	HGNC:11425	Xp22.31	Estrogen metabolism	
SULT1A1	sulfotransferase family 1A member 1	HGNC:11453	16p11.2	Estrogen metabolism	
SULT1A3	sulfotransferase family 1A member 3	HGNC:11455	16p11.2	Estrogen metabolism	
SULT1E1	sulfotransferase family 1E member 1	HGNC:11377	4q13.3	Estrogen metabolism	
TPO	thyroid peroxidase	HGNC:12015	2p25.3	Estrogen metabolism	
THPO	thrombopoietin	HGNC:11795	3q27.1	Estrogen metabolism	
ARSD	arylsulfatase D	HGNC:717	Xp22.33	Ether lipid metabolism	
ARSL	arylsulfatase L	HGNC:719	Xp22.33	Ether lipid metabolism	
COMT	catechol-O-methyltransferase	HGNC:2228	22q11.21	Ether lipid metabolism	
CYP19A1	cytochrome P450 family 19 subfamily A member 1	HGNC:2594	15q21.2	Ether lipid metabolism	
CYP1A1	cytochrome P450 family 1 subfamily A member 1	HGNC:2595	15q24.1	Ether lipid metabolism	
CYP1A2	cytochrome P450 family 1 subfamily A member 2	HGNC:2596	15q24.1	Ether lipid metabolism	
CYP1B1	cytochrome P450 family 1 subfamily B member 1	HGNC:2597	2p22.2	Ether lipid metabolism	
CYP2A13	cytochrome P450 family 2 subfamily A member 13	HGNC:2608	19q13.2	Ether lipid metabolism	
CYP2A6	cytochrome P450 family 2 subfamily A member 6	HGNC:2610	19q13.2	Ether lipid metabolism	
CYP2A7	cytochrome P450 family 2 subfamily A member 7	HGNC:2611	19q13.2	Ether lipid metabolism	
CYP2B6	cytochrome P450 family 2 subfamily B member 6	HGNC:2615	19q13.2	Ether lipid metabolism	
CYP2C18	cytochrome P450 family 2 subfamily C member 18	HGNC:2620	10q23.33	Ether lipid metabolism	
CYP2C19	cytochrome P450 family 2 subfamily C member 19	HGNC:2621	10q23.33	Ether lipid metabolism	
CYP2C8	cytochrome P450 family 2 subfamily C member 8	HGNC:2622	10q23.33	Ether lipid metabolism	
CYP2C9	cytochrome P450 family 2 subfamily C member 9	HGNC:2623	10q23.33	Ether lipid metabolism	
CYP2D6	cytochrome P450 family 2 subfamily D member 6	HGNC:2625	22q13.2	Ether lipid metabolism	
CYP2E1	cytochrome P450 family 2 subfamily E member 1	HGNC:2631	10q26.3	Ether lipid metabolism	
CYP2F1	cytochrome P450 family 2 subfamily F member 1	HGNC:2632	19q13.2	Ether lipid metabolism	
CYP2J2	cytochrome P450 family 2 subfamily J member 2	HGNC:2634	1p32.1	Ether lipid metabolism	
CYP2S1	cytochrome P450 family 2 subfamily S member 1	HGNC:15654	19q13.2	Ether lipid metabolism	
CYP2U1	cytochrome P450 family 2 subfamily U member 1	HGNC:20582	4q25	Ether lipid metabolism	
CYP3A4	cytochrome P450 family 3 subfamily A member 4	HGNC:2637	7q22.1	Ether lipid metabolism	
CYP3A43	cytochrome P450 family 3 subfamily A member 43	HGNC:17450	7q22.1	Ether lipid metabolism	
CYP3A5	cytochrome P450 family 3 subfamily A member 5	HGNC:2638	7q22.1	Ether lipid metabolism	
CYP3A7	cytochrome P450 family 3 subfamily A member 7	HGNC:2640	7q22.1	Ether lipid metabolism	
CYP3A7-CYP3A51P	CYP3A7-CYP3A51P readthrough	HGNC:51504	7q22.1	Ether lipid metabolism	
CYP4B1	cytochrome P450 family 4 subfamily B member 1	HGNC:2644	1p33	Ether lipid metabolism	
CYP4F11	cytochrome P450 family 4 subfamily F member 11	HGNC:13265	19p13.12	Ether lipid metabolism	
CYP4F12	cytochrome P450 family 4 subfamily F member 12	HGNC:18857	19p13.12	Ether lipid metabolism	
CYP4F8	cytochrome P450 family 4 subfamily F member 8	HGNC:2648	19p13.12	Ether lipid metabolism	
CYP4X1	cytochrome P450 family 4 subfamily X member 1	HGNC:20244	1p33	Ether lipid metabolism	
CYP4Z1	cytochrome P450 family 4 subfamily Z member 1	HGNC:20583	1p33	Ether lipid metabolism	
EPX	eosinophil peroxidase	HGNC:3423	17q22	Ether lipid metabolism	
GSTA1	glutathione S-transferase alpha 1	HGNC:4626	6p12.2	Ether lipid metabolism	
GSTA2	glutathione S-transferase alpha 2	HGNC:4627	6p12.2	Ether lipid metabolism	
GSTA3	glutathione S-transferase alpha 3	HGNC:4628	6p12.2	Ether lipid metabolism	
GSTA4	glutathione S-transferase alpha 4	HGNC:4629	6p12.2	Ether lipid metabolism	
GSTA5	glutathione S-transferase alpha 5	HGNC:19662	6p12.2	Ether lipid metabolism	
GSTK1	glutathione S-transferase kappa 1	HGNC:16906	7q34	Ether lipid metabolism	
GSTM1	glutathione S-transferase mu 1	HGNC:4632	1p13.3	Ether lipid metabolism	
GSTM2	glutathione S-transferase mu 2	HGNC:4634	1p13.3	Ether lipid metabolism	
GSTM3	glutathione S-transferase mu 3	HGNC:4635	1p13.3	Ether lipid metabolism	
GSTM4	glutathione S-transferase mu 4	HGNC:4636	1p13.3	Ether lipid metabolism	
GSTM5	glutathione S-transferase mu 5	HGNC:4637	1p13.3	Ether lipid metabolism	
GSTO1	glutathione S-transferase omega 1	HGNC:13312	10q25.1	Ether lipid metabolism	
GSTO2	glutathione S-transferase omega 2	HGNC:23064	10q25.1	Ether lipid metabolism	
GSTP1	glutathione S-transferase pi 1	HGNC:4638	11q13.2	Ether lipid metabolism	
GSTT2	glutathione S-transferase theta 2 (gene/pseudogene)	HGNC:4642	22q11.23	Ether lipid metabolism	
GSTT2B	glutathione S-transferase theta 2B	HGNC:33437	22q11.23	Ether lipid metabolism	
GSTZ1	glutathione S-transferase zeta 1	HGNC:4643	14q24.3	Ether lipid metabolism	
HPGDS	hematopoietic prostaglandin D synthase	HGNC:17890	4q22.3	Ether lipid metabolism	
HSD17B1	hydroxysteroid 17-beta dehydrogenase 1	HGNC:5210	17q21.2	Ether lipid metabolism	
HSD17B11	hydroxysteroid 17-beta dehydrogenase 11	HGNC:22960	4q22.1	Ether lipid metabolism	
HSD17B12	hydroxysteroid 17-beta dehydrogenase 12	HGNC:18646	11p11.2	Ether lipid metabolism	
HSD17B2	hydroxysteroid 17-beta dehydrogenase 2	HGNC:5211	16q23.3	Ether lipid metabolism	
HSD17B6	hydroxysteroid 17-beta dehydrogenase 6	HGNC:23316	12q13.3	Ether lipid metabolism	
HSD17B7	hydroxysteroid 17-beta dehydrogenase 7	HGNC:5215	1q23.3	Ether lipid metabolism	
HSD17B7P2	hydroxysteroid 17-beta dehydrogenase 7 pseudogene 2	HGNC:28120	10p11.1	Ether lipid metabolism	
HSD17B8	hydroxysteroid 17-beta dehydrogenase 8	HGNC:3554	6p21.32	Ether lipid metabolism	
LPO	lactoperoxidase	HGNC:6678	17q22	Ether lipid metabolism	
LRTOMT	leucine rich transmembrane and O-methyltransferase domain containing	HGNC:25033	11q13.4	Ether lipid metabolism	
MGST1	microsomal glutathione S-transferase 1	HGNC:7061	12p12.3	Ether lipid metabolism	
MGST2	microsomal glutathione S-transferase 2	HGNC:7063	4q31.1	Ether lipid metabolism	
MGST3	microsomal glutathione S-transferase 3	HGNC:7064	1q24.1	Ether lipid metabolism	
MPO	myeloperoxidase	HGNC:7218	17q22	Ether lipid metabolism	
